rainfall_mm,avg_temp_c,min_temp_c,max_temp_c,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,fertilizer_kg_ha,irrigation_type,season,rice_variety,region,yield_ton_per_ha
1757.0,24.5,17.2,33.4,6.99,45.2,30.3,128.4,150.8,Rainfed,Kharif,Swarna,Andhra Pradesh,8.54
808.3,26.0,21.4,35.9,5.89,38.3,56.6,143.5,128.7,Rainfed,Rabi,Swarna,West Bengal,6.11
654.1,28.5,23.4,35.7,5.14,99.8,17.1,153.8,72.0,Rainfed,Rabi,Swarna,Tamil Nadu,4.46
1335.2,20.5,13.5,27.9,5.57,131.5,68.0,52.1,355.3,Rainfed,Kharif,Swarna,Punjab,9.81
1615.7,21.7,18.2,30.7,6.8,45.6,2.8,41.7,145.7,Canal,Kharif,Swarna,Andhra Pradesh,7.63
1524.6,32.3,25.0,39.3,6.23,59.8,22.7,70.3,177.3,Rainfed,Kharif,IR64,Punjab,7.53
1595.6,27.7,23.2,34.2,7.1,129.7,85.5,88.7,83.0,Rainfed,Kharif,IR64,West Bengal,9.81
871.2,35.6,32.6,43.3,5.26,132.7,33.2,110.5,243.1,Rainfed,Rabi,MTU1010,West Bengal,4.1
1635.7,32.5,28.3,40.5,7.45,37.3,50.4,110.7,176.1,Rainfed,Kharif,Basmati,Punjab,6.1
240.4,20.1,16.7,28.7,5.05,68.8,99.8,18.7,77.2,Borewell,Kharif,Swarna,Punjab,0.91
1089.0,31.1,27.6,39.1,5.65,156.6,5.3,97.9,124.2,Borewell,Kharif,MTU1010,Punjab,8.75
11.5,21.7,15.2,30.2,6.57,133.2,2.7,26.9,156.5,Rainfed,Rabi,MTU1010,Andhra Pradesh,1.11
649.2,34.1,30.0,42.1,7.08,29.2,27.5,113.8,30.8,Rainfed,Kharif,IR64,West Bengal,0.41
732.9,37.8,30.2,44.7,5.43,69.5,82.1,156.3,20.7,Canal,Rabi,MTU1010,Punjab,0.28
792.3,29.6,24.0,34.4,7.82,175.2,28.3,123.3,397.0,Rainfed,Kharif,MTU1010,Tamil Nadu,6.85
1390.9,32.3,27.0,41.0,6.97,94.6,103.6,111.2,371.1,Rainfed,Kharif,Swarna,Punjab,7.89
777.1,24.3,19.1,28.5,5.26,129.5,42.2,12.4,237.3,Rainfed,Kharif,MTU1010,Andhra Pradesh,5.49
897.4,27.9,21.4,37.8,7.04,16.6,34.0,29.5,97.9,Canal,Kharif,IR64,Tamil Nadu,5.79
475.1,35.4,30.1,44.4,6.94,149.9,27.9,56.8,93.0,Rainfed,Kharif,Basmati,West Bengal,4.78
746.5,23.0,19.4,31.0,7.13,108.9,68.9,149.4,176.2,Canal,Kharif,MTU1010,Andhra Pradesh,8.8
454.5,24.8,17.4,34.6,7.71,31.6,102.8,52.9,154.5,Rainfed,Kharif,MTU1010,Tamil Nadu,2.77
146.4,28.0,22.9,35.7,6.99,68.4,48.7,130.2,293.2,Canal,Kharif,MTU1010,Tamil Nadu,0.93
1206.9,32.8,29.5,37.2,5.73,14.9,30.3,16.6,162.8,Borewell,Rabi,Swarna,Tamil Nadu,5.59
1336.4,26.8,21.1,34.1,7.27,139.9,50.5,105.9,382.1,Canal,Kharif,MTU1010,West Bengal,11.11
1239.0,36.7,30.5,42.4,6.94,134.1,108.6,124.7,101.2,Rainfed,Rabi,MTU1010,Andhra Pradesh,7.57
927.0,21.7,17.3,27.9,6.51,88.2,40.1,86.9,10.7,Borewell,Kharif,MTU1010,Punjab,0.15
759.6,26.7,19.7,33.4,5.74,81.4,78.7,122.7,241.3,Rainfed,Kharif,MTU1010,Andhra Pradesh,7.01
1726.7,32.8,26.4,41.4,7.72,83.4,39.6,115.8,395.2,Rainfed,Kharif,IR64,Punjab,6.69
1038.2,24.1,17.8,31.1,6.29,6.7,81.0,76.3,340.6,Canal,Kharif,Basmati,Tamil Nadu,6.79
958.4,31.8,26.7,38.7,6.7,66.3,105.7,138.5,2.1,Rainfed,Kharif,IR64,Tamil Nadu,0.18
51.3,23.0,15.1,28.8,5.95,23.1,71.8,54.7,230.1,Canal,Kharif,IR64,Tamil Nadu,0.44
682.5,21.0,16.6,28.2,7.23,33.3,113.7,68.1,181.5,Rainfed,Kharif,MTU1010,Tamil Nadu,6.46
760.4,22.2,16.3,27.7,5.69,173.2,72.2,86.4,307.3,Rainfed,Kharif,Basmati,Punjab,8.77
797.6,36.7,32.2,42.3,7.34,47.1,117.0,20.9,101.1,Borewell,Kharif,MTU1010,West Bengal,4.63
1160.3,29.9,23.2,38.5,4.88,87.1,86.8,82.5,97.5,Rainfed,Rabi,Swarna,West Bengal,5.38
1067.2,34.3,31.1,40.4,6.98,159.8,78.3,51.9,126.7,Rainfed,Kharif,MTU1010,Punjab,7.2
1215.8,26.0,22.8,30.3,6.17,74.4,99.6,41.1,98.5,Canal,Kharif,IR64,Tamil Nadu,8.17
1529.8,30.7,23.6,36.7,6.95,95.2,1.3,92.3,8.8,Rainfed,Rabi,IR64,West Bengal,0.7
1626.0,28.9,23.7,36.7,6.36,30.4,30.9,52.7,251.3,Rainfed,Rabi,Basmati,Andhra Pradesh,6.86
1436.2,37.0,32.3,45.9,4.97,51.3,25.9,136.9,245.1,Borewell,Rabi,MTU1010,Andhra Pradesh,5.27
1911.0,33.5,27.4,43.2,6.17,91.1,13.3,65.6,340.7,Borewell,Kharif,MTU1010,Punjab,8.39
36.5,33.1,26.6,41.6,7.88,65.7,112.5,66.1,279.1,Rainfed,Rabi,Basmati,Punjab,1.15
391.6,20.8,16.8,27.4,7.14,6.9,15.7,157.1,256.3,Canal,Kharif,IR64,Tamil Nadu,5.7
15.1,29.9,26.0,35.7,5.55,72.1,31.5,54.6,92.8,Canal,Kharif,Swarna,Tamil Nadu,1.07
1294.9,28.4,20.6,33.2,7.8,146.7,40.2,21.0,296.1,Canal,Kharif,IR64,Tamil Nadu,6.76
1796.1,36.7,30.8,44.5,7.23,20.9,75.0,140.3,342.2,Rainfed,Kharif,Basmati,Andhra Pradesh,7.36
487.0,24.6,19.7,31.7,5.78,3.4,92.1,146.7,177.6,Canal,Kharif,IR64,Punjab,6.39
1854.1,24.9,17.8,32.9,6.61,21.4,72.6,36.2,216.2,Borewell,Kharif,IR64,West Bengal,9.13
120.5,27.4,21.8,32.8,5.99,123.6,89.9,141.1,313.7,Rainfed,Kharif,Swarna,Andhra Pradesh,0.11
1868.9,24.4,20.2,30.3,4.84,143.0,48.3,79.1,186.2,Rainfed,Kharif,Basmati,Punjab,8.12
703.2,22.3,18.3,28.1,7.32,8.8,119.5,6.9,266.6,Borewell,Rabi,IR64,Tamil Nadu,4.77
202.8,35.4,30.4,44.2,5.17,159.8,20.4,87.8,85.9,Canal,Kharif,IR64,Andhra Pradesh,1.01
971.7,30.0,22.7,35.1,6.1,112.9,48.0,135.8,233.7,Rainfed,Rabi,Basmati,Andhra Pradesh,7.18
513.6,35.5,32.2,43.2,6.96,93.3,99.9,63.5,14.9,Canal,Rabi,Basmati,Punjab,1.03
569.7,35.0,30.9,39.3,7.76,45.6,29.6,88.2,83.6,Rainfed,Kharif,MTU1010,Andhra Pradesh,3.91
614.6,25.1,17.6,32.4,4.72,66.9,90.1,22.5,368.3,Borewell,Kharif,MTU1010,Andhra Pradesh,5.07
1606.1,29.9,26.3,34.2,5.88,170.5,43.7,134.8,238.1,Canal,Kharif,MTU1010,West Bengal,12.67
1078.3,21.5,15.3,26.6,6.65,164.1,21.3,17.1,182.2,Rainfed,Kharif,MTU1010,West Bengal,8.15
622.6,36.5,32.4,41.2,7.23,112.6,48.4,15.1,208.8,Canal,Kharif,Basmati,Tamil Nadu,5.15
1220.7,27.3,21.2,33.4,7.72,104.2,94.2,149.4,0.0,Rainfed,Rabi,Swarna,Tamil Nadu,0.06
1432.3,27.1,22.2,33.1,4.5,37.9,13.4,139.8,183.8,Canal,Rabi,IR64,West Bengal,5.5
545.2,25.4,21.9,34.4,6.7,171.6,61.9,92.0,57.6,Canal,Kharif,IR64,West Bengal,8.89
827.1,28.3,22.4,33.6,4.52,136.0,89.0,17.0,343.3,Rainfed,Rabi,Basmati,West Bengal,5.11
243.8,24.5,18.1,29.0,7.26,68.8,90.2,87.4,165.4,Canal,Rabi,IR64,Andhra Pradesh,0.43
362.3,26.7,20.3,34.4,5.02,146.8,46.8,147.3,92.8,Rainfed,Rabi,Basmati,West Bengal,4.5
1362.2,34.4,28.2,42.5,7.63,38.1,56.0,98.0,204.7,Borewell,Rabi,IR64,West Bengal,4.38
362.9,35.0,29.5,40.8,5.04,38.4,102.8,31.7,146.3,Rainfed,Kharif,IR64,West Bengal,2.91
1050.3,25.5,19.9,33.1,7.18,142.4,25.0,144.9,184.0,Canal,Rabi,Swarna,Tamil Nadu,9.38
1418.1,28.4,22.3,37.1,5.51,100.7,119.1,138.5,290.3,Rainfed,Rabi,Basmati,Punjab,10.1
213.8,35.7,29.3,41.8,6.45,100.1,50.3,87.5,203.7,Rainfed,Rabi,MTU1010,Punjab,0.12
1134.6,20.9,14.7,28.1,6.63,103.3,33.1,136.4,366.0,Borewell,Rabi,MTU1010,Andhra Pradesh,8.41
513.1,36.0,30.1,40.9,5.22,22.6,0.3,9.0,102.7,Rainfed,Kharif,Swarna,West Bengal,2.04
1925.9,23.9,20.2,28.1,5.55,62.9,15.0,73.8,130.4,Rainfed,Kharif,Swarna,Punjab,8.58
967.1,32.2,28.2,42.1,4.88,103.2,90.8,28.5,311.0,Canal,Kharif,Swarna,West Bengal,5.54
1612.0,30.5,26.2,36.3,4.52,44.6,77.9,134.0,313.4,Rainfed,Kharif,MTU1010,Punjab,7.65
1100.5,30.0,22.4,35.6,5.34,90.7,29.6,155.4,390.6,Rainfed,Kharif,MTU1010,West Bengal,7.02
86.8,35.5,28.7,45.3,6.31,100.3,111.2,148.9,251.4,Borewell,Rabi,IR64,Andhra Pradesh,0.61
1266.3,21.8,16.1,30.2,7.0,169.7,100.3,80.5,229.5,Borewell,Kharif,MTU1010,West Bengal,9.89
1902.8,26.2,22.0,33.8,7.28,44.2,32.3,81.8,235.5,Canal,Kharif,IR64,Andhra Pradesh,9.05
1203.2,29.7,26.1,37.9,4.74,79.1,39.6,145.3,144.5,Rainfed,Rabi,MTU1010,Punjab,5.64
1638.4,34.6,27.1,42.9,5.45,176.7,22.2,115.5,154.0,Canal,Rabi,Basmati,West Bengal,7.31
1768.4,23.9,16.4,32.5,7.2,33.6,77.1,11.9,111.9,Borewell,Rabi,IR64,Andhra Pradesh,7.34
456.2,34.5,30.9,38.9,6.18,140.4,84.1,20.5,238.8,Borewell,Kharif,IR64,Punjab,6.14
424.1,27.2,20.2,33.7,5.14,31.9,47.5,152.3,336.1,Rainfed,Kharif,IR64,West Bengal,4.75
1222.0,23.4,18.2,29.2,5.87,153.0,88.5,58.5,253.4,Borewell,Rabi,IR64,Tamil Nadu,9.29
822.1,33.7,29.0,38.1,5.45,87.8,119.0,30.0,189.0,Canal,Kharif,Swarna,Andhra Pradesh,6.07
1679.7,21.6,14.9,28.1,4.68,175.0,73.4,117.7,25.5,Borewell,Rabi,IR64,West Bengal,0.54
1800.0,29.3,23.2,37.0,7.17,30.6,77.9,140.8,99.1,Rainfed,Kharif,Basmati,Tamil Nadu,8.98
706.8,21.1,14.2,26.2,5.52,123.8,44.9,33.0,338.0,Canal,Kharif,Swarna,Tamil Nadu,7.7
473.7,26.4,23.0,32.2,7.81,125.2,1.3,40.2,158.5,Canal,Kharif,IR64,West Bengal,4.41
1561.1,30.8,26.2,38.7,7.61,129.4,114.5,144.0,354.2,Canal,Kharif,MTU1010,Tamil Nadu,9.68
549.6,30.0,25.4,37.5,7.01,18.2,92.7,2.1,97.1,Rainfed,Rabi,MTU1010,Punjab,3.55
1645.2,27.3,22.6,36.5,5.64,51.9,83.5,145.3,230.3,Canal,Kharif,Swarna,Andhra Pradesh,10.35
847.5,27.7,22.2,36.5,5.48,60.8,3.6,6.3,385.5,Rainfed,Kharif,Basmati,Andhra Pradesh,3.98
1335.1,24.1,19.7,33.9,6.16,58.4,91.1,15.3,222.7,Rainfed,Kharif,Basmati,Punjab,6.57
191.1,28.2,23.0,35.8,5.74,121.5,80.4,138.0,83.6,Borewell,Kharif,IR64,West Bengal,0.45
1247.7,37.2,32.3,45.3,7.65,9.9,68.3,39.7,91.8,Canal,Rabi,Swarna,Andhra Pradesh,3.07
903.5,35.3,28.6,44.5,4.93,131.4,74.8,36.0,63.1,Canal,Kharif,Basmati,Andhra Pradesh,4.98
1173.2,22.6,16.6,31.7,7.04,94.8,110.2,135.1,8.5,Rainfed,Kharif,MTU1010,Punjab,0.91
336.0,20.5,14.3,28.8,6.64,31.1,0.8,86.8,277.0,Canal,Rabi,Swarna,West Bengal,3.68
1473.7,36.8,32.8,43.8,7.32,40.7,18.8,56.1,313.2,Canal,Kharif,Swarna,Punjab,5.71
1725.6,29.5,24.9,35.1,6.4,17.6,107.4,114.3,328.1,Canal,Rabi,Basmati,Tamil Nadu,9.71
433.5,29.7,26.6,38.9,6.7,82.6,1.0,129.6,29.5,Rainfed,Kharif,Basmati,West Bengal,0.16
191.4,34.1,30.5,42.7,7.87,107.1,108.4,138.0,376.9,Rainfed,Kharif,MTU1010,Andhra Pradesh,0.81
47.3,25.7,21.3,34.7,4.82,104.6,3.6,19.1,247.4,Canal,Kharif,IR64,West Bengal,1.04
1283.9,28.7,25.3,33.5,4.87,173.2,93.5,93.2,35.3,Borewell,Kharif,MTU1010,Tamil Nadu,0.61
1214.2,37.4,31.4,43.3,5.88,53.3,106.9,108.5,34.0,Canal,Kharif,Basmati,Tamil Nadu,0.16
1093.4,32.1,24.1,38.6,6.15,137.2,73.5,18.6,203.9,Canal,Rabi,Swarna,Tamil Nadu,8.25
463.9,22.8,19.3,31.8,5.2,130.2,77.0,97.6,97.7,Canal,Kharif,MTU1010,Tamil Nadu,5.69
781.8,22.4,15.3,31.8,4.79,11.0,6.1,5.1,95.6,Rainfed,Rabi,IR64,Tamil Nadu,2.09
1189.0,23.7,20.1,29.4,4.58,167.4,25.3,54.7,4.7,Rainfed,Kharif,IR64,Tamil Nadu,0.04
993.5,33.8,27.5,41.9,7.18,167.6,107.9,27.5,192.9,Borewell,Rabi,IR64,West Bengal,6.3
1975.6,25.3,19.1,29.8,6.2,71.3,98.8,89.8,34.6,Borewell,Rabi,MTU1010,West Bengal,0.36
272.9,20.4,12.9,26.8,7.45,75.2,7.1,30.6,30.7,Canal,Kharif,Basmati,Punjab,0.21
1390.3,37.0,33.4,43.9,5.76,147.5,97.6,126.3,63.5,Canal,Rabi,MTU1010,Andhra Pradesh,9.03
808.6,23.1,18.5,31.6,6.96,89.1,50.8,19.4,4.3,Rainfed,Kharif,MTU1010,Punjab,0.45
856.4,20.2,16.7,29.5,6.21,143.9,67.3,121.3,41.4,Rainfed,Kharif,Swarna,Punjab,7.92
1435.2,24.3,19.2,30.3,6.64,6.5,13.0,15.8,237.7,Rainfed,Rabi,IR64,Andhra Pradesh,5.0
1384.9,24.2,16.7,31.4,5.8,45.0,47.8,70.8,102.7,Canal,Rabi,IR64,West Bengal,8.03
1982.5,27.6,20.7,35.5,4.78,16.4,52.2,111.8,27.5,Rainfed,Rabi,IR64,West Bengal,0.92
256.8,36.6,30.0,42.5,7.82,81.8,80.3,25.8,54.2,Rainfed,Kharif,MTU1010,Tamil Nadu,2.8
208.2,35.8,30.2,45.7,7.43,153.7,78.9,120.4,17.3,Borewell,Rabi,MTU1010,Andhra Pradesh,1.05
1448.7,28.2,20.8,37.5,5.59,102.6,65.9,152.5,310.8,Rainfed,Kharif,IR64,West Bengal,9.88
1156.8,27.4,22.1,33.2,7.86,93.7,3.8,59.7,224.6,Rainfed,Kharif,Basmati,Andhra Pradesh,5.15
548.3,30.0,26.2,37.0,5.55,65.9,19.4,0.0,189.7,Rainfed,Kharif,IR64,Andhra Pradesh,4.24
158.8,24.4,17.2,29.8,6.05,11.4,19.2,76.3,349.3,Rainfed,Kharif,MTU1010,Punjab,0.6
171.3,20.9,16.5,28.0,7.14,138.0,106.5,144.4,31.9,Rainfed,Kharif,MTU1010,Punjab,0.33
1788.4,36.9,33.6,45.0,5.58,102.7,108.2,106.4,14.9,Borewell,Kharif,Swarna,Andhra Pradesh,0.41
383.7,23.4,19.7,27.9,5.64,167.6,96.8,112.5,169.6,Canal,Kharif,MTU1010,Andhra Pradesh,8.63
646.7,23.6,17.5,32.8,5.94,77.8,21.0,126.8,105.6,Canal,Kharif,MTU1010,Andhra Pradesh,6.56
453.3,28.5,22.5,36.1,6.14,72.3,100.8,145.3,190.3,Borewell,Kharif,Basmati,Tamil Nadu,6.87
710.0,28.8,24.5,38.8,4.93,175.4,22.5,20.0,361.4,Rainfed,Kharif,IR64,Tamil Nadu,5.14
138.8,20.3,13.7,24.5,4.56,25.4,66.6,94.4,178.5,Rainfed,Kharif,IR64,Andhra Pradesh,0.69
1038.1,22.7,15.8,31.7,7.72,45.4,88.1,142.4,68.5,Borewell,Kharif,Basmati,Andhra Pradesh,6.25
135.2,26.8,19.2,35.6,5.74,87.9,6.2,124.1,319.1,Rainfed,Rabi,Basmati,Tamil Nadu,0.85
1600.7,32.3,26.4,37.1,4.86,94.2,71.8,39.8,155.5,Canal,Kharif,MTU1010,Punjab,7.39
467.4,24.1,17.2,30.1,7.16,98.8,30.1,139.9,302.0,Rainfed,Kharif,Basmati,Tamil Nadu,6.91
1080.0,27.6,20.8,36.9,5.53,38.2,59.7,47.1,56.6,Canal,Kharif,MTU1010,Punjab,6.65
1760.2,30.0,25.7,37.1,5.14,166.8,46.1,65.7,134.9,Rainfed,Rabi,IR64,West Bengal,7.4
1301.8,36.0,31.4,42.4,7.87,126.6,82.4,29.7,9.0,Rainfed,Kharif,IR64,Punjab,0.89
1065.9,25.9,20.5,35.3,7.72,46.5,58.7,141.6,94.2,Canal,Rabi,MTU1010,West Bengal,5.14
648.7,22.4,19.3,27.0,4.87,53.0,36.2,14.9,258.8,Borewell,Rabi,IR64,Andhra Pradesh,3.62
666.0,28.8,24.3,35.6,7.65,158.5,109.2,159.1,117.3,Rainfed,Kharif,MTU1010,West Bengal,7.14
1339.0,33.4,28.1,41.4,7.62,68.5,115.1,52.6,55.7,Rainfed,Kharif,Swarna,Tamil Nadu,4.54
1988.3,22.0,18.4,29.6,6.72,100.1,96.2,113.7,22.5,Rainfed,Rabi,Swarna,Andhra Pradesh,0.6
1323.7,27.6,24.0,33.2,6.35,21.7,69.7,20.6,241.1,Rainfed,Rabi,IR64,West Bengal,6.31
1115.6,20.3,15.0,27.7,5.26,45.3,106.1,78.1,30.8,Rainfed,Kharif,Swarna,Tamil Nadu,0.52
1461.3,20.6,13.9,28.9,4.92,75.0,72.2,6.4,319.5,Borewell,Kharif,Basmati,Punjab,6.73
930.4,28.7,21.5,36.2,6.62,118.1,17.9,140.5,142.9,Canal,Rabi,MTU1010,Andhra Pradesh,8.13
120.3,25.4,19.6,33.5,7.38,50.4,2.1,71.4,122.0,Borewell,Rabi,MTU1010,Punjab,0.21
1124.6,35.2,29.8,40.7,6.91,171.1,87.1,118.8,249.9,Rainfed,Kharif,IR64,Tamil Nadu,8.53
1915.3,30.8,25.9,39.8,5.13,39.6,90.3,143.1,222.6,Rainfed,Kharif,MTU1010,West Bengal,8.19
350.6,28.2,24.2,34.9,5.52,140.2,111.1,11.0,395.0,Rainfed,Kharif,IR64,Andhra Pradesh,6.65
1380.0,27.3,23.6,37.3,6.41,65.6,98.9,81.8,20.5,Canal,Kharif,MTU1010,Punjab,0.88
401.9,29.0,22.0,33.1,6.69,150.0,76.7,30.3,340.5,Rainfed,Kharif,MTU1010,West Bengal,5.78
1071.7,20.7,15.4,27.0,4.75,166.2,22.8,11.0,239.8,Rainfed,Kharif,IR64,Punjab,5.69
193.4,36.1,29.1,41.2,6.65,33.7,71.3,99.5,353.0,Canal,Rabi,MTU1010,Punjab,0.75
900.7,38.0,31.4,45.3,7.08,88.5,52.2,18.3,277.6,Rainfed,Rabi,Swarna,Andhra Pradesh,4.57
1512.3,23.3,19.3,28.7,5.13,27.8,27.9,78.7,304.9,Rainfed,Kharif,IR64,Tamil Nadu,5.73
695.1,22.2,16.6,30.6,5.36,127.0,95.9,31.5,314.7,Rainfed,Rabi,IR64,West Bengal,5.05
1329.8,22.6,17.4,31.9,5.41,149.8,17.9,31.6,6.1,Rainfed,Kharif,IR64,Andhra Pradesh,0.62
1590.9,31.9,26.8,37.2,7.79,70.1,75.6,83.7,335.3,Rainfed,Kharif,IR64,Tamil Nadu,7.76
1854.4,31.9,26.2,36.9,5.92,71.4,73.3,88.9,271.7,Canal,Kharif,Basmati,West Bengal,10.36
469.3,35.3,27.4,44.5,6.36,36.7,36.4,0.6,379.0,Rainfed,Rabi,IR64,Andhra Pradesh,2.63
798.6,33.5,26.5,39.7,7.04,55.2,51.5,80.1,53.3,Canal,Kharif,Basmati,Andhra Pradesh,6.11
304.8,28.1,20.6,34.7,5.8,58.3,14.0,107.2,368.6,Borewell,Kharif,MTU1010,Punjab,5.58
1985.0,31.0,27.9,36.4,4.87,28.0,3.1,108.6,341.8,Rainfed,Rabi,MTU1010,Punjab,7.02
1854.0,32.4,28.7,38.9,6.79,55.8,1.6,136.0,90.5,Rainfed,Kharif,MTU1010,Tamil Nadu,8.98
1079.9,29.2,25.8,34.6,6.84,163.3,20.9,143.2,49.6,Canal,Rabi,Swarna,Andhra Pradesh,8.77
1684.1,28.6,24.2,36.6,5.41,58.6,104.0,99.7,251.4,Canal,Kharif,Basmati,West Bengal,8.48
1041.9,31.6,26.4,38.6,4.62,49.4,62.7,77.1,270.4,Canal,Kharif,MTU1010,Tamil Nadu,6.56
1247.2,30.0,23.8,38.8,6.83,69.2,14.1,32.7,284.4,Rainfed,Kharif,Swarna,Tamil Nadu,6.46
178.2,31.6,26.1,37.5,6.96,172.8,108.7,20.3,338.2,Canal,Kharif,IR64,Andhra Pradesh,0.94
1510.5,31.0,23.5,38.1,4.59,137.6,68.3,97.5,222.7,Rainfed,Kharif,Basmati,Punjab,8.09
255.4,32.9,25.2,38.5,6.93,36.3,3.3,151.5,113.6,Rainfed,Rabi,IR64,Tamil Nadu,4.34
1652.1,31.6,27.8,41.2,7.79,135.5,91.5,44.5,342.8,Borewell,Kharif,MTU1010,West Bengal,6.8
1564.1,29.4,22.1,36.5,5.13,137.9,56.8,15.9,173.4,Rainfed,Rabi,Swarna,West Bengal,5.67
1417.5,32.3,26.9,37.3,6.32,171.0,63.9,67.8,173.8,Canal,Rabi,MTU1010,Punjab,9.93
72.3,28.1,22.8,33.7,6.94,160.4,73.6,0.1,197.0,Canal,Rabi,Basmati,Andhra Pradesh,1.19
606.3,24.4,17.4,28.8,5.31,17.1,11.3,88.6,334.2,Canal,Kharif,Swarna,Tamil Nadu,4.77
526.2,20.0,16.6,24.2,7.13,81.8,113.7,7.9,388.3,Rainfed,Kharif,MTU1010,Tamil Nadu,6.24
720.3,30.1,22.7,37.2,7.54,126.5,30.6,149.0,68.4,Canal,Kharif,MTU1010,Andhra Pradesh,6.33
175.3,30.6,24.3,36.7,7.35,175.2,74.6,139.2,48.9,Rainfed,Rabi,Swarna,West Bengal,0.84
1873.9,37.5,30.1,47.3,5.41,15.3,102.7,18.4,115.1,Borewell,Kharif,Swarna,Tamil Nadu,5.1
1107.6,26.5,18.5,31.5,7.31,66.3,39.8,23.5,361.7,Canal,Kharif,Basmati,Tamil Nadu,7.55
611.0,27.1,21.5,35.9,5.95,88.6,75.3,152.6,211.2,Canal,Rabi,Basmati,Punjab,7.95
794.0,23.6,20.2,29.5,5.43,74.4,118.7,130.2,2.3,Canal,Rabi,IR64,Tamil Nadu,0.67
894.4,21.3,17.4,26.6,5.09,82.0,102.2,150.7,232.8,Borewell,Kharif,Swarna,Punjab,6.53
1201.2,33.9,29.3,43.7,7.68,66.4,93.5,53.5,219.6,Canal,Rabi,MTU1010,Punjab,4.88
1031.4,24.5,21.0,33.3,5.99,174.7,52.7,17.8,31.9,Rainfed,Kharif,Basmati,West Bengal,0.26
1838.8,31.0,23.9,38.7,7.53,144.6,54.2,98.5,59.6,Rainfed,Rabi,MTU1010,Punjab,7.33
993.9,32.4,27.9,40.6,5.06,132.6,58.3,154.7,37.2,Rainfed,Rabi,Swarna,Punjab,0.63
1984.3,28.5,20.6,38.4,7.18,73.9,82.9,20.8,208.5,Rainfed,Rabi,IR64,West Bengal,8.28
1702.8,35.8,29.3,43.3,4.89,158.7,17.3,131.0,212.4,Rainfed,Kharif,Basmati,Punjab,5.96
417.0,28.0,24.1,32.6,4.56,16.8,103.3,57.5,184.1,Borewell,Kharif,Basmati,Punjab,3.99
1861.2,25.1,19.7,29.5,7.98,25.8,2.2,18.5,180.4,Canal,Rabi,MTU1010,Punjab,5.75
232.7,36.1,30.8,44.1,4.76,171.7,20.4,73.4,232.2,Borewell,Rabi,Swarna,West Bengal,0.39
1634.9,35.5,30.0,43.5,6.12,102.1,57.8,78.2,264.9,Rainfed,Kharif,MTU1010,Andhra Pradesh,7.13
761.2,23.0,17.3,31.4,7.57,28.7,30.3,1.5,385.5,Rainfed,Kharif,Basmati,West Bengal,3.67
1755.9,20.5,17.3,25.1,7.37,170.8,43.9,75.9,218.1,Rainfed,Rabi,Basmati,West Bengal,9.84
1736.1,21.6,15.2,31.3,6.15,175.5,39.9,103.6,106.3,Rainfed,Rabi,Swarna,West Bengal,9.84
1611.9,25.2,19.7,32.5,6.64,158.7,32.3,122.3,389.8,Canal,Rabi,IR64,Tamil Nadu,11.04
1580.1,37.5,30.5,45.4,6.7,42.9,45.6,15.8,42.3,Rainfed,Kharif,Basmati,Tamil Nadu,5.58
609.4,30.1,23.0,34.3,4.88,50.1,60.6,140.2,125.1,Rainfed,Rabi,Swarna,Andhra Pradesh,4.33
161.8,26.7,22.6,36.5,5.5,73.3,57.2,26.8,361.0,Borewell,Rabi,Basmati,Tamil Nadu,0.22
806.0,36.0,32.8,43.4,5.55,104.3,97.4,105.3,377.5,Borewell,Kharif,MTU1010,Andhra Pradesh,6.91
347.0,28.2,21.6,35.5,5.82,178.6,37.0,88.4,258.0,Rainfed,Rabi,Basmati,Andhra Pradesh,6.64
1389.9,25.7,17.8,35.3,5.46,172.1,33.8,140.8,5.8,Rainfed,Rabi,MTU1010,Punjab,0.23
692.2,36.9,31.7,46.5,5.38,165.8,60.5,6.2,177.0,Canal,Rabi,Basmati,West Bengal,4.68
1951.2,35.3,31.0,40.6,5.74,16.1,5.8,30.7,373.1,Rainfed,Kharif,Basmati,Andhra Pradesh,5.56
1281.9,35.2,31.4,44.8,5.83,136.3,13.4,19.5,355.9,Canal,Kharif,Basmati,Tamil Nadu,6.63
1645.0,29.2,24.8,37.6,6.21,157.8,96.4,52.4,357.5,Canal,Kharif,Swarna,Tamil Nadu,11.68
265.0,34.2,29.6,38.3,5.11,60.0,59.2,54.2,117.5,Canal,Kharif,IR64,Tamil Nadu,4.13
1724.0,23.2,18.1,28.7,7.26,39.5,8.0,14.2,329.9,Borewell,Rabi,IR64,Punjab,7.29
1845.5,30.3,24.0,36.8,7.51,134.7,52.8,82.3,268.9,Rainfed,Kharif,IR64,Tamil Nadu,8.43
974.1,37.7,33.3,45.2,5.37,16.4,47.8,18.6,357.5,Borewell,Kharif,IR64,Tamil Nadu,3.88
1212.5,25.2,22.0,33.4,4.93,169.4,29.5,11.9,255.2,Canal,Kharif,Basmati,West Bengal,6.44
1529.6,34.3,29.4,39.6,7.03,28.1,44.7,5.3,150.1,Rainfed,Rabi,IR64,West Bengal,6.05
349.7,28.8,21.6,37.8,7.73,82.4,22.6,148.7,253.8,Rainfed,Kharif,MTU1010,West Bengal,4.83
